"","countries","happiness_score","human_freedom_score","personal_freedom_score","economic_freedom_score","religion","association","assembly","movement","inheritance_rights","disapperances_conflicts_and_terrorism","rule_of_law","homicide","size_of_government"
"17","Brazil",6.37559986114502,6.48,6.73992327083246,6.23,7.41185185185185,10,10,10,10,10,4.65167253014278,0,5.6544283262363
"18","Bulgaria",5.10150003433228,7.79,8.03554146168823,7.54,7.13888888888889,10,10,10,10,10,4.89137219595925,9.4,7.12820916366552
"19","Burkina Faso",4.76870012283325,6.73,7.38656321999061,6.07,8.01888888888889,7.5,7.5,10,7.5,9.21865302321394,4.86057488809748,9.48,5.73490211302347
"20","Burundi",3.77530002593994,5.56,4.9539520520572,6.17,7.46851851851852,0,0,6.66666666666667,NA,5.91582073428327,2.94491110802685,7.59179120124318,6.91984819653975
"21","Cambodia",4.8484001159668,7.13,6.82476380475199,7.44,8.27259259259259,10,7.5,7.5,7.5,8.5,2.56674114716346,9.26261631161504,9.0834400864135
"22","Cameroon",5.08489990234375,5.64,5.43306421184286,5.84,7.89296296296296,7.5,2.5,2.5,7.5,6.28937679803217,3.02691825037176,9.44,6.94536543509733
"23","Canada",7.23210000991821,8.65,9.2229636049021,8.08,9.0037037037037,10,10,10,10,9.96186126091085,7.73832394639474,9.28,6.48446368554679
"24","Central African Republic",3.47589993476868,5.41,5.59276449739906,5.23,8.28888888888889,7.5,10,5,7.5,4,2.40648589547957,2.09704961568333,6.50428934493855
"25","Chad",4.42269992828369,5.46,5.49040127695032,5.42,8.15888888888889,5,5,6.66666666666667,5,6.96487674200853,3.10560686773191,6.38387988296155,7.43060519504574
"26","Chile",6.22849988937378,8.15,8.41072554877547,7.89,9.26592592592593,10,10,10,10,9.99556902718989,6.51610405376347,8.28,8.17305632932542
"27","China",5.12389993667603,6.17,5.92250140918413,6.42,3.6662962962963,2.5,2.5,5,10,7.99703788121952,4.70481805079491,9.75375971525301,4.66707850123488
"28","Colombia",6.16340017318726,6.93,7.17622386174791,6.68,8.74074074074074,10,10,10,10,6.29048463980325,4.42297259764564,0.0400000000000006,7.24439174134624
"29","Comoros",4.28859996795654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Costa Rica",7.12139987945557,7.7,7.98976168871179,7.41,8.08518518518518,10,10,10,5,10,6.62687744267784,5.08,7.04284971527361
"31","Croatia",5.50470018386841,7.86,8.4543302341116,7.26,8.05148148148148,10,10,10,10,10,5.70053786766334,9.56,5.71736405795913
"32","Cyprus",6.15899991989136,7.93,8.1829629792194,7.68,7.15925925925926,10,10,7.5,10,9.5,6.60052916555484,9.76,6.92187870625867
"33","Czech Republic",6.9109001159668,8.34,8.92216511834099,7.75,7.76444444444444,10,7.5,10,10,10,7.7866922193957,9.76,6.66004508646005
